"No.","Residence Hall","Room","Occupancy","Time"
242,"Woolley",318,1,
242,"Woolley",319,1,
243,"Gregorian Quad B",310,4,
244,"Goddard House",219,1,
244,"Goddard House",319,1,
245,"Gregorian Quad A",208,5,
246,"Gregorian Quad A",404,4,
247,"Gregorian Quad A",204,4,
248,"Slater Hall",404,3,
248,"Goddard House",212,1,
249,"Gregorian Quad B",203,4,
250,"Goddard House",231,1,
250,"Goddard House",232,1,
250,"Goddard House",310,1,
251,"No Show",0,0,
252,"No Show",0,0,
253,"Champlin",306,1,
253,"Woolley",418,1,
253,"Woolley",316,1,
254,"Emery",204,1,
254,"Emery",301,1,
255,"Chapin House",327,1,
256,"Hegeman","B107",3,
257,"Drop to 351",0,0,
258,"No Show",0,0,
259,"Gregorian Quad A",313,4,
259,"Machado",34,1,
260,"Woolley",219,1,
261,"Minden",215,3,
262,"Goddard House",312,1,
262,"Goddard House",313,1,
262,"Goddard House",314,1,
262,"Goddard House",331,1,
262,"Goddard House",333,1,
263,"Drop to 280",0,0,
264,"Gregorian Quad B",207,5,
264,"Sears House","326A",1,
264,"Sears House","326B",1,
265,"Minden",708,2,
266,"Goddard House",214,1,
267,"Gregorian Quad B",308,4,
268,"Goddard House",230,1,
268,"Goddard House",229,1,
268,"Machado",33,1,
269,"Hegeman","C401",3,
270,"Sears House","306B",1,
271,"No Show",0,0,
272,"Hegeman","C209",3,
273,"Hegeman","B207",2,
274,"Gregorian Quad A",303,4,
275,"Hegeman","A301",3,
275,"Hegeman","A303",3,
276,"Gregorian Quad B",208,4,
276,"Gregorian Quad B",204,4,
277,"Goddard House","306A",1,
277,"Goddard House","306B",1,
278,"Gregorian Quad A",310,5,
279,"Gregorian Quad A",314,4,
279,"Gregorian Quad A",312,4,
280,"Gregorian Quad B",301,4,
281,"Slater Hall",301,4,
282,"Goddard House",315,1,
282,"Goddard House",216,1,
282,"Chapin House",322,1,
283,"Grad Center A",540,6,
284,"Champlin",103,1,
285,"Woolley",215,1,
286,"Gregorian Quad B",210,4,
287,"Hegeman","E213",3,
288,"Gregorian Quad A",301,4,
289,"Gregorian Quad B",304,4,
290,"Barbour Hall Apartments",330,3,
291,"New Pembroke #3",318,1,
292,"Hegeman","A203",3,
292,"Hegeman","B204",3,
293,"Gregorian Quad A",406,4,
293,"Gregorian Quad B",303,4,
294,"Gregorian Quad A",304,4,
295,"Gregorian Quad A",302,4,
296,"Gregorian Quad B",103,5,
296,"Gregorian Quad B",107,5,
297,"Hegeman","E116",3,
298,"Barbour Hall Apartments",170,4,
299,"Gregorian Quad A",212,4,
300,"Emery",201,1,
301,"Wayland House","400B",7,
301,"Archibald House",131,1,
302,"Gregorian Quad B",106,4,
303,"Hegeman","E112",3,
304,"Chapin House","114A",1,
305,"Woolley",419,1,
305,"Woolley",423,1,
305,"Woolley",415,1,
306,"New Pembroke #4",219,1,
307,"Slater Hall",302,2,
307,"Slater Hall",303,2,
307,"Slater Hall",202,2,
308,"Minden",815,3,
309,"Slater Hall",203,2,
310,"Chapin House","114B",1,
311,"Grad Center B",330,4,
312,"Emery",401,1,
312,"Emery",404,1,
313,"Emery",411,1,
313,"Emery",409,1,
313,"Emery",317,1,
313,"Emery",311,1,
314,"Champlin",108,1,
315,"Hegeman","E113",3,
316,"Drop to 354",0,0,
317,"Hegeman","D211",3,
318,"Gregorian Quad B",108,4,
318,"Gregorian Quad B",110,4,
318,"Gregorian Quad B",104,4,
319,"Gregorian Quad A",201,4,
319,"Gregorian Quad A",202,4,
320,"Woolley",407,1,
321,"Drop to 396",0,0,
322,"Gregorian Quad A",402,4,
322,"Gregorian Quad A",403,4,
323,"Barbour Hall Apartments",310,3,
324,"Hegeman","C402",3,
324,"Machado",32,1,
324,"Machado",38,1,
325,"Gregorian Quad A",309,4,
325,"Gregorian Quad A",311,4,
326,"Gregorian Quad A",214,4,
326,"Emery",217,1,
326,"New Pembroke #4",320,1,
327,"Gregorian Quad A",203,4,
328,"Woolley",123,1,
329,"Woolley",416,1,
329,"Woolley",406,1,
329,"Woolley",323,1,
329,"Woolley",315,1,
329,"Woolley",307,1,
329,"Woolley",223,1,
329,"Everett House",324,1,
330,"New Pembroke #4",209,1,
330,"New Pembroke #4",217,1,
331,"Wayland House","400A",7,
332,"Gregorian Quad B",201,4,
332,"Gregorian Quad B",202,4,
332,"Woolley",119,1,
333,"Woolley",207,1,
333,"Hegeman","C208",3,
334,"Hegeman","D309",3,
334,"Minden",306,2,
334,"Woolley",206,1,
335,"Chapin House","326A",1,
335,"Chapin House","326B",1,
336,"Gregorian Quad A",209,4,
337,"Gregorian Quad A",211,4,
337,"Gregorian Quad A",401,4,
338,"Hegeman","E212",2,
339,"Grad Center C",510,6,
340,"No Show",0,0,
341,"Gregorian Quad A",407,4,
341,"Gregorian Quad A",408,2,
342,"New Pembroke #4",303,1,
343,"Minden",615,3,
343,"Minden",513,3,
344,"Gregorian Quad B",302,4,
345,"Gregorian Quad B",105,4,
346,"Gregorian Quad B",404,4,
346,"New Pembroke #4",423,1,
347,"Slater Hall",201,4,
347,"Hegeman","C308",3,
348,"Gregorian Quad B",102,4,
348,"Grad Center A",230,4,
348,"Poland House",201,1,
349,"Grad Center C",110,4,
350,"Hegeman","C109",3,
350,"Minden",706,2,
351,"Hegeman","D403",3,
351,"New Pembroke #4",313,1,
352,"Barbour Hall Apartments",130,3,
353,"Hegeman","C108",3,
353,"Hegeman","D111",3,
353,"Poland House",327,1,
354,"Grad Center A",440,6,
354,"Grad Center A",410,5,
355,"Hegeman","B104",3,
355,"New Pembroke #4",301,1,
356,"New Pembroke #4",302,1,
357,"Poland House",323,1,
357,"Poland House",325,1,
358,"Poland House",207,1,
359,"Minden",506,2,
359,"Minden",508,2,
359,"Poland House",418,1,
360,"Hegeman","A103",3,
360,"Hegeman","D404",3,
361,"New Pembroke #4",325,1,
362,"New Pembroke #4",323,1,
362,"New Pembroke #4",326,1,
362,"New Pembroke #4",327,1,
362,"New Pembroke #4",402,1,
362,"New Pembroke #4",403,1,
363,"New Pembroke #3",315,1,
363,"New Pembroke #3",317,1,
364,"Slater Hall",401,3,
364,"Slater Hall",304,4,
365,"New Pembroke #4",425,1,
365,"New Pembroke #3",215,1,
366,"New Pembroke #4",421,1,
366,"New Pembroke #4",413,1,
366,"New Pembroke #4",427,1,
366,"New Pembroke #4",426,1,
367,"Barbour Hall Apartments",120,4,
368,"New Pembroke #2",204,1,
369,"New Pembroke #3",103,1,
369,"New Pembroke #3",217,1,
369,"New Pembroke #3",218,1,
369,"New Pembroke #3",203,1,
370,"Poland House",202,1,
370,"Poland House",203,1,
370,"Gregorian Quad B",307,5,
370,"Minden",315,3,
371,"Minden",507,3,
372,"Minden",415,3,
372,"Poland House",321,1,
372,"Poland House",334,1,
372,"Poland House",336,1,
372,"Archibald House",217,1,
372,"Poland House",338,1,
373,"Minden",308,2,
374,"Grad Center B",340,5,
374,"Archibald House",218,1,
374,"Archibald House",227,1,
375,"Grad Center B",530,5,
376,"New Pembroke #3",303,1,
377,"Grad Center A",420,6,
378,"New Pembroke #2",202,1,
378,"New Pembroke #2",203,1,
379,"Minden",606,2,
379,"Barbour Hall",201,2,
380,"Minden",201,3,
380,"Archibald House",301,1,
381,"Slater Hall",204,4,
381,"Barbour Hall Apartments",50,3,
381,"Mead House",223,1,
381,"Mead House",231,1,
382,"Grad Center A",220,5,
383,"Hegeman","B205",2,
383,"Barbour Hall Apartments",80,4,
384,"Grad Center B",420,5,
384,"New Pembroke #2",104,1,
384,"New Pembroke #2",205,1,
384,"New Pembroke #2",201,1,
385,"Barbour Hall Apartments",160,5,
385,"Plantations House",102,2,
385,"Marcy House",225,3,
386,"Mead House",227,1,
386,"Mead House",229,1,
386,"Gregorian Quad A",410,2,
387,"Barbour Hall Apartments",220,4,
388,"Grad Center A",620,6,
389,"No Show",0,0,
390,"Slater Hall",101,4,
391,"Archibald House",304,1,
391,"Archibald House",306,1,
391,"Poland House",204,1,
391,"Poland House",206,1,
391,"Poland House",208,1,
392,"No Show",0,0,
393,"Drop to 459",0,0,
394,"Slater Hall",405,2,
395,"No Show",0,0,
396,"Barbour Hall Apartments",260,5,
396,"Grad Center A",240,6,
397,"Poland House",210,1,
398,"Bronson House",203,1,
398,"Bronson House",204,1,
398,"Bronson House",206,1,
398,"Bronson House",304,1,
399,"Hegeman","B305",2,
399,"Archibald House",418,1,
399,"Archibald House",302,1,
399,"Archibald House",303,1,
399,"Mead House",216,1,
400,"Minden",401,3,
401,"Minden",501,3,
402,"Grad Center A",640,6,
403,"Grad Center B",630,6,
403,"Grad Center B",640,5,
404,"Grad Center A",510,5,
405,"Minden",802,3,
406,"Everett House",107,1,
407,"Mead House",113,1,
408,"Bronson House",406,1,
409,"Grad Center C",310,6,
410,"Minden",113,3,
411,"Barbour Hall Apartments",360,5,
411,"Barbour Hall",308,2,
412,"Archibald House",422,1,
413,"Barbour Hall",208,2,
414,"Slater Hall",406,2,
414,"Mead House",204,1,
414,"Mead House",218,1,
414,"Mead House",304,1,
414,"Jameson House",218,1,
414,"Jameson House",219,1,
415,"No Show",0,0,
416,"Jameson House",319,1,
417,"No Show",0,0,
418,"Grad Center C",340,5,
419,"Jameson House",106,1,
419,"Jameson House",225,1,
419,"Poland House",424,1,
420,"No Show",0,0,
421,"Grad Center B",510,6,
422,"Grad Center C",330,5,
423,"Grad Center C",520,5,
424,"Barbour Hall Apartments",370,4,
425,"Barbour Hall",301,2,
426,"Everett House",316,1,
427,"Bronson House",306,1,
428,"Grad Center C",640,5,
429,"Minden",801,3,
430,"No Show",0,0,
431,"New Pembroke #2",206,2,
431,"Gregorian Quad A","408A",2,
432,"Barbour Hall",306,2,
433,"No Show",0,0,
434,"Grad Center C",530,5,
434,"Everett House",214,1,
435,"No Show",0,0,
436,"Grad Center C",610,6,
437,"Bronson House",309,1,
438,"No Show",0,0,
439,"Barbour Hall Apartments",320,4,
439,"Mead House",3,1,
440,"Pass",0,0,
441,"Gregorian Quad B",402,2,
441,"Gregorian Quad B",403,2,
442,"Pass",0,0,
443,"Pass",0,0,
444,"Pass",0,0,
445,"Gregorian Quad A",409,2,
445,"Sears House",214,2,
446,"Barbour Hall",108,2,
447,"Pass",0,0,
448,"New Pembroke #2",102,2,
449,"Pass",0,0,
450,"No Show",0,0,
451,"Drop to 463",0,0,
452,"Pass",0,0,
453,"Minden",601,3,
454,"Drop to 463",0,0,
455,"No Show",0,0,
456,"Hegeman","B105",2,
457,"No Show",0,0,
458,"No Show",0,0,
459,"Grad Center A",330,5,
460,"Drop to 463",0,0,
461,"Pass",0,0,
462,"No Show",0,0,
463,"Grad Center B",240,5,
464,"Plantations House",203,2,
465,"No Show",0,0,
466,"Pass",0,0,
467,"Pass",0,0,
468,"Pass",0,0,
469,"Barbour Hall",206,2,
,,,,
"(Beginning of Semester Level 4 Groups)",,,,
,,,,
470,"Diman House",226,1,4/19/10 6:06:22
471,"Diman House",224,1,4/19/10 6:06:31
472,"No Show",,,4/19/10 6:06:50
473,"Drop to 536",,,4/19/10 6:07:16
474,"Diman House",309,1,4/19/10 6:07:40
475,"Goddard House",308,2,4/19/10 6:07:55
475,"Goddard House",323,2,4/19/10 6:07:58
476,"Harkness House",327,1,4/19/10 6:08:49
477,"No Show",,,4/19/10 6:09:10
,,,,
"(Beginning of Semester Level 3 Groups)",,,,
,,,,
478,"Diman House",326,1,4/19/10 6:09:42
479,"Barbour Hall Apartments",150,5,4/19/10 6:10:00
480,"Drop to 523",,,4/19/10 6:10:20
481,"Drop to 529",,,4/19/10 6:10:42
482,"Drop to 603",,,4/19/10 6:11:26
483,"Diman House",311,1,4/19/10 6:11:41
484,"No Show",,,4/19/10 6:12:00
485,"Diman House",312,1,4/19/10 6:12:13
486,"Harkness House","206A",1,4/19/10 6:12:26
487,"Morriss Hall",201,6,4/19/10 6:12:47
488,"Barbour Hall Apartments",280,4,4/19/10 6:13:09
488,"Gregorian Quad B",401,2,4/19/10 6:13:12
489,"Harkness House","400B",8,4/19/10 6:13:37
490,"New Pembroke #1",205,1,4/19/10 6:13:54
491,"Drop to 494",,,4/19/10 6:14:11
492,"Caswell Hall",102,2,4/19/10 6:14:26
493,"Caswell Hall",411,2,4/19/10 6:14:38
494,"Grad Center C",620,5,4/19/10 6:14:53
495,"Morriss Hall",301,6,4/19/10 6:15:16
496,"Barbour Hall Apartments",190,4,4/19/10 6:15:30
497,"Diman House","329B",1,4/19/10 6:15:49
497,"Diman House","329A",1,4/19/10 6:15:50
497,"Diman House","229A",1,4/19/10 6:15:51
497,"Harkness House","326A",1,4/19/10 6:16:00
497,"Harkness House","326B",1,4/19/10 6:16:00
498,"Diman House",221,3,4/19/10 6:16:43
498,"Diman House",227,2,4/19/10 6:16:47
499,"Harkness House","206B",1,4/19/10 6:16:56
500,"Plantations House",301,3,4/19/10 6:17:22
500,"Plantations House",303,2,4/19/10 6:17:24
501,"Minden",701,3,4/19/10 6:17:41
502,"New Pembroke #1",202,1,4/19/10 6:17:59
502,"New Pembroke #1",204,1,4/19/10 6:18:01
503,"Caswell Hall",311,2,4/19/10 6:18:14
504,"New Pembroke #1",302,1,4/19/10 6:18:27
505,"Drop to 508",,,4/19/10 6:18:42
506,"Grad Center B",410,6,4/19/10 6:18:56
507,"Barbour Hall Apartments",250,5,4/19/10 6:19:12
508,"Chapin House","400B",5,4/19/10 6:20:00
508,"New Pembroke #1",206,1,4/19/10 6:20:04
509,"Caswell Hall",207,2,4/19/10 6:20:22
509,"Caswell Hall",206,2,4/19/10 6:20:23
509,"New Pembroke #1",402,1,4/19/10 6:20:28
510,"Morriss Hall",401,6,4/19/10 6:20:52
510,"New Pembroke #1",406,1,4/19/10 6:20:55
511,"Caswell Hall",410,2,4/19/10 6:21:12
511,"Caswell Hall",310,2,4/19/10 6:21:14
512,"Marcy House","400B",6,4/19/10 6:21:31
513,"New Pembroke #1",404,1,4/19/10 6:21:50
514,"Caswell Hall",402,2,4/19/10 6:22:01
514,"Caswell Hall",401,2,4/19/10 6:22:01
515,"Grad Center B",430,6,4/19/10 6:22:19
516,"New Pembroke #1",305,1,4/19/10 6:22:38
517,"New Pembroke #1",306,1,4/19/10 6:22:54
518,"New Pembroke #1",405,1,4/19/10 6:23:10
519,"Barbour Hall Apartments",350,5,4/19/10 6:23:23
520,"Caswell Hall",301,2,4/19/10 6:23:46
520,"Caswell Hall",302,2,4/19/10 6:23:47
520,"Caswell Hall",303,2,4/19/10 6:23:47
521,"Caswell Hall",406,2,4/19/10 6:24:02
522,"Caswell Hall",101,2,4/19/10 6:24:17
522,"Caswell Hall",103,2,4/19/10 6:24:17
522,"Caswell Hall",104,2,4/19/10 6:24:18
523,"Caswell Hall",407,2,4/19/10 6:24:34
523,"Grad Center D",210,4,4/19/10 6:24:42
523,"Grad Center D",310,5,4/19/10 6:24:46
524,"Caswell Hall",110,2,4/19/10 6:25:05
524,"Caswell Hall",412,2,4/19/10 6:25:08
524,"Caswell Hall",404,2,4/19/10 6:25:16
525,"Grad Center D",340,6,4/19/10 6:25:35
525,"Caswell Hall",106,2,4/19/10 6:25:41
526,"Caswell Hall",201,2,4/19/10 6:25:57
526,"Caswell Hall",211,2,4/19/10 6:25:57
527,"Barbour Hall Apartments",180,4,4/19/10 6:26:17
528,"Caswell Hall",305,2,4/19/10 6:26:37
528,"Caswell Hall",306,2,4/19/10 6:26:38
528,"Caswell Hall",307,2,4/19/10 6:26:38
528,"Caswell Hall",308,2,4/19/10 6:26:39
528,"Caswell Hall",408,2,4/19/10 6:26:45
529,"Grad Center B",540,5,4/19/10 6:27:08
530,"111 Brown Street",301,2,4/19/10 6:27:25
530,"111 Brown Street",302,2,4/19/10 6:27:26
531,"Caswell Hall",205,2,4/19/10 6:27:47
531,"Caswell Hall",409,2,4/19/10 6:27:49
531,"Caswell Hall",403,2,4/19/10 6:28:06
531,"Caswell Hall",204,2,4/19/10 6:28:14
532,"Marcy House","400A",6,4/19/10 6:28:57
533,"Caswell Hall",209,2,4/19/10 6:29:17
533,"Caswell Hall",212,2,4/19/10 6:29:20
533,"Caswell Hall",309,2,4/19/10 6:29:23
534,"New Pembroke #1",307,1,4/19/10 6:29:46
534,"Grad Center A",530,5,4/19/10 6:29:51
535,"Harkness House","400A",7,4/19/10 6:30:08
536,"Grad Center B",310,6,4/19/10 6:30:23
537,"New Pembroke #1",407,1,4/19/10 6:30:44
538,"Miller",121,3,4/19/10 6:31:18
539,"Minden",302,3,4/19/10 6:31:34
540,"No Show",,,4/19/10 6:31:54
541,"Grad Center C",210,6,4/19/10 6:32:10
541,"Gregorian Quad A","408F",2,4/19/10 6:32:16
542,"Drop to 633",,,4/19/10 6:32:37
543,"Grad Center D",420,5,4/19/10 6:32:53
544,"Pass",,,4/19/10 6:33:04
545,"Caswell Hall",105,2,4/19/10 6:33:19
546,"Grad Center D",440,6,4/19/10 6:33:33
547,"Grad Center D",540,6,4/19/10 6:33:46
548,"Grad Center D",410,5,4/19/10 6:34:00
549,"Grad Center D",610,5,4/19/10 6:34:14
550,"Grad Center B",520,5,4/19/10 6:34:25
551,"Drop to 670",,,4/19/10 6:34:38
552,"Grad Center D",520,6,4/19/10 6:34:56
553,"Harkness House",207,2,4/19/10 6:35:12
553,"Harkness House",323,2,4/19/10 6:35:14
554,"Grad Center B",210,6,4/19/10 6:35:26
555,"Caswell Hall",208,2,4/19/10 6:36:23
555,"Grad Center D",120,4,4/19/10 6:36:32
556,"Grad Center D",140,4,4/19/10 6:36:50
557,"Caswell Hall",304,2,4/19/10 6:37:11
558,"Grad Center C",430,5,4/19/10 6:37:27
559,"Drop to 591",,,4/19/10 6:37:41
560,"Grad Center A",310,5,4/19/10 6:37:56
561,"Grad Center A",430,5,4/19/10 6:38:05
