"No.","Residence Hall","Room","Occupancy","Time"
,,,,
"(Beginning of Semester Level 9 Groups)",,,,
,,,,
1,"Minden",807,1,
2,"Gregorian Quad B","405C",1,
,,,,
"(Beginning of Semester Level 8 Groups)",,,,
,,,,
3,"Minden",209,1,
4,"Slater Hall",205,1,
5,"Minden",709,1,
6,"Hegeman","A202",1,
7,"Gregorian Quad A","409A",1,
8,"East Andrews",420,1,
9,"Slater Hall",207,1,
10,"Barbour Hall",304,1,
10,"Barbour Hall",204,1,
10,"Barbour Hall Apartments",240,4,
11,"Minden",409,1,
12,"Metcalf",300,1,
13,"Slater Hall",305,1,
14,"Minden",207,2,
15,"Slater Hall",307,1,
16,"Slater Hall",206,1,
17,"Slater Hall",105,1,
18,"Gregorian Quad B","403B",1,
,,,,
"(Beginning of Semester Level 7 Groups)",,,,
,,,,
19,"Slater Hall",306,1,
20,"West Andrews",217,1,
21,"Hegeman","E214",2,
22,"Miller",417,1,
23,"West Andrews",203,1,
24,"East Andrews",320,1,
25,"Metcalf",114,1,
26,"East Andrews",422,1,
27,"Woolley",118,1,
28,"Gregorian Quad A","408E",1,
29,"Hegeman","A302",1,
30,"Hegeman","E114",1,
31,"Goddard House",332,1,
32,"Gregorian Quad B","405B",1,
33,"Gregorian Quad B","403F",1,
34,"Emery",207,1,
35,"Hope College",314,1,
36,"East Andrews",220,1,
36,"East Andrews",222,1,
37,"East Andrews",322,1,
38,"Gregorian Quad A","409D",1,
39,"Gregorian Quad A","410D",1,
39,"Gregorian Quad A","410E",1,
40,"Miller",407,1,
41,"Gregorian Quad B","403C",1,
42,"Hegeman","A102",1,
43,"West Andrews",317,1,
44,"Hope College",316,1,
45,"No Show",0,0,
46,"West Andrews",403,1,
46,"East Andrews",408,1,
46,"East Andrews",460,1,
46,"East Andrews",308,1,
47,"West Andrews",219,1,
48,"Miller",105,2,
48,"Miller",418,1,
49,"Wayland House",323,1,
50,"West Andrews",417,1,
51,"Emery",120,1,
52,"Gregorian Quad A","409E",1,
53,"Young Orchard #2",340,4,
54,"Gregorian Quad B","402C",1,
54,"Hope College",206,1,
55,"No Show",0,0,
56,"Gregorian Quad A",411,3,
57,"West Andrews",303,1,
58,"East Andrews",256,1,
59,"Minden",814,2,
60,"Minden",407,2,
61,"Miller",403,1,
61,"Miller",401,1,
61,"West Andrews",419,1,
62,"Hope College",208,1,
62,"Gregorian Quad B","401A",1,
62,"Gregorian Quad B","401C",1,
63,"Miller",410,1,
64,"Young Orchard #10",330,4,
65,"Plantations House",304,1,
66,"Gregorian Quad A","409F",1,
67,"Gregorian Quad A","410F",1,
68,"Gregorian Quad B","401B",1,
69,"Young Orchard #2",310,4,
69,"Young Orchard #2",320,4,
69,"Young Orchard #2",330,4,
70,"Barbour Hall Apartments",140,4,
71,"Young Orchard #10",240,4,
72,"West Andrews",205,1,
72,"West Andrews",255,1,
73,"Metcalf",116,1,
73,"Metcalf",121,1,
74,"West Andrews",459,1,
75,"Gregorian Quad A",205,3,
76,"Gregorian Quad A",207,5,
77,"Young Orchard #2",240,4,
78,"Young Orchard #2",210,4,
78,"Young Orchard #2",220,4,
78,"Young Orchard #2",230,4,
79,"Young Orchard #2",440,4,
80,"Metcalf",324,1,
81,"Young Orchard #2",420,4,
82,"Young Orchard #2",410,4,
83,"Gregorian Quad A","408B",1,
84,"Plantations House",206,1,
85,"West Andrews",401,1,
85,"West Andrews",407,1,
86,"Young Orchard #4",340,4,
86,"Young Orchard #4",330,4,
87,"No Show",0,0,
88,"Minden",812,2,
89,"Gregorian Quad B","402A",1,
89,"Gregorian Quad B","402E",1,
89,"East Andrews",304,1,
89,"East Andrews",306,1,
89,"East Andrews",310,1,
90,"Young Orchard #2",430,4,
91,"West Andrews",355,1,
91,"West Andrews",353,1,
91,"East Andrews",360,1,
91,"East Andrews",362,1,
91,"West Andrews",307,1,
91,"West Andrews",305,1,
91,"East Andrews",356,1,
92,"Metcalf",306,1,
92,"Metcalf",308,1,
93,"Minden",301,3,
94,"West Andrews",357,1,
95,"Drop to 108",0,0,
96,"Hegeman","C307",3,
97,"East Andrews",206,1,
97,"East Andrews",208,1,
98,"East Andrews",258,1,
99,"Metcalf",304,1,
99,"Metcalf",125,1,
100,"Gregorian Quad A","410C",1,
101,"Barbour Hall Apartments",340,4,
102,"Wayland House",346,1,
103,"Plantations House",204,1,
104,"Young Orchard #4",210,4,
104,"Gregorian Quad A","409B",1,
105,"Plantations House",101,1,
106,"Metcalf",325,1,
107,"West Andrews",455,1,
107,"West Andrews",457,1,
107,"East Andrews",456,1,
107,"East Andrews",462,1,
108,"Young Orchard #4",310,4,
108,"Young Orchard #4",220,4,
108,"Young Orchard #4",420,4,
109,"No Show",0,0,
110,"Woolley",113,1,
111,"Gregorian Quad B","402F",1,
112,"Drop to 159",0,0,
113,"Young Orchard #4",120,4,
114,"Gregorian Quad B","405F",1,
115,"Hegeman","B306",3,
116,"Miller",110,1,
116,"Gregorian Quad B","403D",1,
117,"Hegeman","A101",3,
118,"Hope College",108,1,
119,"Young Orchard #4",230,4,
120,"Slater Hall",104,3,
121,"Miller",409,1,
122,"Gregorian Quad A",405,3,
122,"Gregorian Quad A","408C",1,
122,"Gregorian Quad A","409C",1,
122,"Gregorian Quad A","410B",1,
123,"Gregorian Quad B","401F",1,
124,"Young Orchard #4",240,4,
125,"Drop to 171",0,0,
126,"West Andrews",453,1,
126,"East Andrews",410,1,
127,"Drop to 162",0,0,
128,"Minden",707,2,
129,"Gregorian Quad B","402B",1,
129,"Gregorian Quad B","403A",1,
130,"Young Orchard #10",310,4,
131,"East Andrews",260,1,
132,"Gregorian Quad B","405A",1,
132,"West Andrews",257,1,
132,"West Andrews",201,1,
133,"Young Orchard #4",410,4,
134,"Gregorian Quad B","402D",1,
135,"Gregorian Quad B","401E",1,
136,"Young Orchard #10",340,4,
137,"No Show",0,0,
138,"Young Orchard #4",430,4,
139,"Young Orchard #10",210,4,
140,"Gregorian Quad B","403E",1,
140,"Gregorian Quad B","405D",1,
140,"Gregorian Quad B","405E",1,
141,"Wayland House",322,1,
141,"Wayland House",327,1,
142,"Young Orchard #10",410,4,
142,"Young Orchard #10",440,4,
143,"Gregorian Quad B","401D",1,
144,"Minden",307,2,
145,"Wayland House",326,1,
146,"East Andrews",210,1,
146,"West Andrews",359,1,
146,"East Andrews",358,1,
146,"East Andrews",262,1,
146,"East Andrews",204,1,
147,"Gregorian Quad A",305,3,
148,"Champlin",423,1,
149,"Wayland House",230,1,
150,"Metcalf",313,1,
150,"Metcalf",315,1,
151,"Sears House",327,1,
152,"Young Orchard #10",320,4,
153,"Hegeman","A201",3,
154,"Slater Hall",402,2,
154,"Slater Hall",403,2,
155,"Miller",405,1,
155,"Miller",419,1,
156,"West Andrews",207,1,
157,"West Andrews",259,1,
158,"West Andrews",253,1,
159,"Metcalf",104,1,
159,"Metcalf",107,1,
159,"Metcalf",110,1,
159,"Metcalf",112,1,
160,"Hegeman","E215",3,
161,"No Show",0,0,
162,"Young Orchard #10",230,4,
162,"New Pembroke #3",212,1,
163,"Sears House","114B",1,
164,"New Pembroke #4",227,1,
165,"No Show",0,0,
166,"Wayland House",330,1,
166,"Wayland House",332,1,
167,"No Show",0,0,
168,"Young Orchard #10",420,4,
169,"Hope College",116,1,
170,"Metcalf",320,1,
171,"Young Orchard #4",110,4,
172,"Metcalf",301,1,
173,"Wayland House",312,1,
173,"Wayland House",313,1,
174,"Metcalf",323,1,
174,"Metcalf",317,1,
175,"Emery",220,1,
176,"Wayland House",232,1,
177,"Olney House",314,1,
178,"Emery",417,1,
179,"Wayland House",304,1,
180,"Metcalf",322,1,
180,"Metcalf",318,1,
180,"Metcalf",316,1,
181,"Sears House",220,1,
181,"Sears House",222,1,
182,"Metcalf",309,1,
183,"Emery",420,1,
184,"Young Orchard #10",430,4,
185,"Goddard House",330,1,
186,"Miller",108,1,
,,,,
"(Beginning of Semester Level 6 Groups)",,,,
,,,,
187,"No Show",,,
188,"Young Orchard #10",120,4,
188,"Wayland House",212,1,
189,"Metcalf",109,1,
190,"Woolley",229,1,
191,"Wayland House",213,1,
192,"No Show",,,
193,"Miller",124,2,
193,"Miller",118,1,
194,"Miller",117,1,
195,"Hope College",408,1,
,,,,
"(Beginning of Semester Level 5 Groups)",,,,
,,,,
196,"Wayland House",318,1,
197,"Young Orchard #10",110,4,
198,"Wayland House",237,1,
199,"Minden",608,2,
199,"Metcalf",312,1,
199,"Metcalf",314,1,
200,"Minden",208,2,
201,"Metcalf",311,1,
202,"Woolley",129,1,
203,"Woolley",429,1,
203,"Woolley",329,1,
204,"Metcalf",123,1,
205,"Young Orchard #2",110,4,
206,"Hope College",406,1,
207,"Hope College",106,1,
208,"Minden",715,3,
209,"Woolley",218,1,
209,"Goddard House",316,1,
209,"Goddard House",317,1,
209,"Goddard House",318,1,
210,"Hope College",414,1,
211,"Drop to 276",0,0,
212,"Gregorian Quad A",213,4,
213,"Hegeman","B304",3,
214,"Gregorian Quad B",306,4,
215,"No Show",0,0,
216,"Gregorian Quad A",307,5,
217,"Woolley",115,1,
217,"Woolley",116,1,
218,"Metcalf",102,1,
218,"Metcalf",111,1,
219,"Hegeman","D310",3,
220,"No Show",0,0,
221,"Hegeman","D210",3,
222,"Hope College",114,1,
223,"Miller",413,1,
223,"Miller",415,1,
224,"No Show",0,0,
225,"Minden",408,2,
226,"No Show",0,0,
227,"New Pembroke #2",207,1,
228,"Hegeman","B206",3,
229,"Woolley",306,1,
230,"Olney House",319,1,
230,"Sears House","306A",1,
231,"No Show",0,0,
232,"Emery",104,1,
232,"Emery",117,1,
233,"Gregorian Quad A",306,4,
234,"No Show",0,0,
235,"Marcy House",228,1,
236,"Pass",0,0,
237,"Miller",100,1,
237,"Metcalf",302,1,
237,"Metcalf",310,1,
238,"Drop to 276",0,0,
239,"Gregorian Quad B",206,4,
240,"No Show",0,0,
241,"Gregorian Quad B",205,4,
242,"Poland House",332,1,
242,"Poland House",319,1,
242,"Archibald House",307,1,
